id	feature	value
8bb6511d-1284-46df-b60f-7d49e53afc4b	year_of_birth	1941
368ed7de-aa2c-4bc8-9170-04811ccaf8d1	year_of_birth	1925
7a7bdbcd-effa-4af2-b059-7791aee46fe0	year_of_birth	1931
ff7447a0-a3de-4d17-9166-4ee002023ca7	year_of_birth	1956
ae53cb27-d5d5-4150-876d-69d780030934	year_of_birth	1939
f671a8e7-3b8e-40c0-89bc-bb90f517cf57	year_of_birth	1950
90a63500-f4f8-4cd0-b8ef-575a2b48be2e	year_of_birth	1954
547921ff-6eee-4013-a119-badf2c4b80b5	year_of_birth	1944
96522b7a-66d2-45fa-ac5f-1b9e8d49bba9	year_of_birth	1938
3844401b-65d6-4f2f-acd9-1845345cc769	year_of_birth	1925
48c02a84-1ce1-4d9a-8d25-dec2fa0282ee	year_of_birth	1936
6b194f70-b146-4076-92fb-b259c13d3cc5	year_of_birth	1943
0f07abc5-1147-47d0-adf4-b8a3a435819e	year_of_birth	1932
8bdc98d8-9ee6-442e-9525-c65b132cd354	year_of_birth	1961
f1f8995a-5c58-480d-941a-db6996dd44a1	year_of_birth	1937
83068e3f-5f79-430e-a95e-2d95acc6b370	year_of_birth	1937
59a54945-cc0a-4b56-bd1d-f01238f790ad	year_of_birth	1934
f63410f6-dea1-481e-9275-e3d08a0c4ded	year_of_birth	1924
af113043-a63d-4ccc-a10c-2214b2727f8f	year_of_birth	1954
fa5f7d79-076a-4e17-8a35-30c81a1feace	year_of_birth	1969
3aa5c179-5ff2-4883-80f7-84c592bc4916	year_of_birth	1959
41d5f105-c98e-4c95-8d1d-989f90d40333	year_of_birth	1925
3fb22447-3042-495c-a448-556520196f76	year_of_birth	1948
4c3ed306-4013-4fb1-b22e-f580cfa1edad	year_of_birth	1912
c4a220c7-d9f6-4005-8030-a61c9ab3399d	year_of_birth	1974
b3c2f3b3-c0e0-4c30-9193-1109d38e04f3	year_of_birth	1929
1e8544c8-4e89-4347-b105-fdd3c3e8f7c5	year_of_birth	1937
c1b621c7-66b1-4314-b90a-a47088da5778	year_of_birth	1953
b4abe84f-ea5f-475e-968a-892822d6b349	year_of_birth	1929
d8d1474b-b3f9-425b-8079-f0b8a2839be2	year_of_birth	1928
5c8edc61-088d-4a8d-b762-bc5c81bc2e48	year_of_birth	1972
df699b1c-871b-414b-b02a-d4027e828ee7	year_of_birth	1928
88d30ba2-5b85-4583-a45e-c44cd8640ae2	year_of_birth	1928
b5998685-3a92-49ea-aada-3d24adb47fec	year_of_birth	1932
7b9d1b85-d792-4ee8-98ba-985972361eda	year_of_birth	1947
c9f29f45-c98c-4f51-bde8-14f0413fe7c1	year_of_birth	1963
c75b5564-102d-45f2-808f-d7c4313a0752	year_of_birth	1935
393d591b-8065-42b6-9986-d5c74782071c	year_of_birth	1941
0f3171b5-122b-4118-8668-9e90eaaeead7	year_of_birth	1941
0d2bd58f-1cf6-4bbd-b533-be72be494e6c	year_of_birth	1933
700ab3ae-e8db-4d9f-8399-fb889bc6e50e	year_of_birth	1952
db9bc043-c8d3-4386-9966-70d714322d3d	year_of_birth	1946
67e0e2d2-5bd5-48a7-8c3b-aa35681e0bca	year_of_birth	1970
5be6c7a2-3fcd-49c7-81ac-f2919b6a32f9	year_of_birth	1927
5bd03307-b5f0-4aef-af7b-74a70548e5d6	year_of_birth	1964
1f3a4b48-25ef-45c1-94a8-9743b6e43b90	year_of_birth	1969
511c8e3c-9b7b-4708-9c49-078ee79d7231	year_of_birth	1956
79644b9d-5a26-40ef-a65e-692626385fb3	year_of_birth	1940
073d5629-19b9-4021-b643-c8ec1c71bce6	year_of_birth	1963
86403271-5e24-4776-ad0b-1a05f26a6c10	year_of_birth	1949
8b800e21-6edc-4740-9c3b-5dd6ac88f127	year_of_birth	1945
6d587f23-6f52-4f49-9257-587ba59ef9bc	year_of_birth	1929
92e149db-96f1-41e2-bcd3-517d74e9eb75	year_of_birth	1939
4aaddf6e-0780-4fe9-8ff4-4566d005f193	year_of_birth	1937
a7f33ddd-f58d-4478-80c4-5f163c9a8bb6	year_of_birth	1922
cd8b57df-2d6e-45dd-a57f-b9591e1267ba	year_of_birth	1938
309c0f80-a792-4e42-b779-90c2ab203f3c	year_of_birth	1942
9ceb7d87-0c87-41c2-9655-5ba540c4faa6	year_of_birth	1922
19e23efd-6c74-416a-9868-1f89c5f66842	year_of_birth	1963
420e6e3c-aad1-475b-ac16-1c156e15422b	year_of_birth	1950
1d3d60d7-18db-4b2c-a3d0-1f5b0074e2a2	year_of_birth	1977
d6b26842-b6a4-4143-9be9-729dae830f69	year_of_birth	1953
b6cfff9b-e9d8-47ae-a68a-4432ed31c5e0	year_of_birth	1925
bfd66546-66a7-4eb0-92a8-ebeabd3bc8ff	year_of_birth	1927
145d70a3-6d3e-4fa1-b261-bac9dcf0c0fd	year_of_birth	1944
cd1ab234-ff5c-4435-bb75-f0ac184970cc	year_of_birth	1929
4079480f-869e-4ff9-a291-41817620c797	year_of_birth	1930
ed0032e8-a000-4c47-95d9-e81ee3f14688	year_of_birth	1932
5c5b5d6a-f8e5-42fa-8f28-7898e5923713	year_of_birth	1936
25d5f143-a8f8-4a86-873e-e40afc79904f	year_of_birth	1953
2a829c8b-4ee2-40d0-ad0e-a72b8eecbbab	year_of_birth	1915
ee88016b-52c3-455d-8768-4b09b6f55c20	year_of_birth	1955
023be775-7468-416a-b4e9-c8957ff4be48	year_of_birth	1980
56009b33-94b3-4bee-bc6e-5efd8ea69d95	year_of_birth	1962
c1c1b6d2-8d6f-425c-90d3-b6d08fc18168	year_of_birth	1929
d848cc33-6777-48a9-ae2b-448351cbbfc7	year_of_birth	1947
d1a669e6-d127-4459-b9f6-2cfc5e61a4bb	year_of_birth	1930
dc80e66d-de6a-4f86-b073-65b2f034aa99	year_of_birth	1937
a72fa04d-30ab-4070-9ad0-40a00cf6f44a	year_of_birth	1938
65eb0733-fd5a-43c9-b9dd-2be12ea7e809	year_of_birth	1954
fb237029-cf48-419b-97e5-d23c07901083	year_of_birth	1924
25499936-2ffd-4f22-ae3d-d94055fc0d79	year_of_birth	1961
180168fe-27bb-42b4-a869-b23e4251712f	year_of_birth	1942
d070d6e6-e718-4472-8705-adb741aa9a80	year_of_birth	1940
355ab084-667d-4591-ba95-dcbe62752970	year_of_birth	1938
af876276-1363-4127-be4d-d364fe10ac54	year_of_birth	1951
926cc221-91dd-4603-9957-20578cba1123	year_of_birth	1959
6499a3b6-c857-4163-b93e-fd569c109ec1	year_of_birth	1971
d95ab5d3-7ddb-43d5-abb7-4f1c6ee67795	year_of_birth	1951
2ae57e59-6acd-4802-adbe-c6e7a8a81612	year_of_birth	1944
74670a9a-4eba-4ed5-8883-4c7739f7c105	year_of_birth	1927
422ba8a2-b67f-4a4a-a674-51066c2b1e99	year_of_birth	1922
aa0262b6-e59c-4dd5-940e-b83befa9d55c	year_of_birth	1923
3f1c6ed1-ab4d-4696-b64a-53b23fe5aaee	year_of_birth	1925
76e2f33e-3282-45e4-9b4e-187a6f68d6a8	year_of_birth	1926
2ddd4709-fdc8-4c83-a0e4-0990771a7e4e	year_of_birth	1939
de626800-3e4b-4227-a0dd-1ca9d4c66cb9	year_of_birth	1967
12c0b2cc-03db-4d45-8f9d-11e95589e7c8	year_of_birth	1925
7ce28ed4-cc41-4684-bc35-0008ceaed2c7	year_of_birth	1939
84f9ea5c-654f-47a7-888b-8dd2325295a1	year_of_birth	1976
0d63d3f8-0566-4fb8-ae90-91895a737419	year_of_birth	1966
3245684b-5dc1-46fe-be9d-4d174fe20c07	year_of_birth	1926
d37ce011-8df5-4c15-9a26-227e37fbfe6a	year_of_birth	1929
12211451-35b3-401d-98b3-c3aa9f085869	year_of_birth	1955
7c4d588f-7cc3-4fbe-86c6-51ce9ad8ff22	year_of_birth	1952
f408bb19-70c1-4d21-a1b7-26ae78a2a012	year_of_birth	1942
495641af-ff90-4e61-9fc9-c7eb615480e1	year_of_birth	1938
5aa88f6f-df1e-4cb1-b60a-4a71bdd245dc	year_of_birth	1944
